date,zone,demand_mw,load_shed_mw
24-03-2023,Sylhet,383,0
24-03-2023,Barisal,332,0
24-03-2023,Rangpur,651,0
25-03-2023,Dhaka,3873,0
25-03-2023,Chittagong,1200,0
25-03-2023,Khulna,1234,0
25-03-2023,Rajshahi,1189,0
25-03-2023,Comilla,1010,0
25-03-2023,Mymensingh,930,0
25-03-2023,Sylhet,389,0
25-03-2023,Barisal,299,0
25-03-2023,Rangpur,715,0
26-03-2023,Dhaka,3675,0
26-03-2023,Chittagong,1083,0
26-03-2023,Khulna,994,0
26-03-2023,Rajshahi,1329,0
26-03-2023,Comilla,782,0
26-03-2023,Mymensingh,997,0
26-03-2023,Sylhet,392,0
26-03-2023,Barisal,260,0
26-03-2023,Rangpur,734,0
27-03-2023,Dhaka,4156,0
27-03-2023,Chittagong,1227,0
27-03-2023,Khulna,1377,0
27-03-2023,Rajshahi,1322,0
27-03-2023,Comilla,973,0
27-03-2023,Mymensingh,1043,42
27-03-2023,Sylhet,429,0
27-03-2023,Barisal,300,0
27-03-2023,Rangpur,793,0
28-03-2023,Dhaka,4338,0
28-03-2023,Chittagong,1305,0
28-03-2023,Khulna,1479,0
28-03-2023,Rajshahi,1384,0
28-03-2023,Comilla,1025,20
28-03-2023,Mymensingh,1110,75
28-03-2023,Sylhet,449,0
28-03-2023,Barisal,363,0
28-03-2023,Rangpur,767,0
29-03-2023,Dhaka,3952,0
29-03-2023,Chittagong,1153,0
29-03-2023,Khulna,1132,0
29-03-2023,Rajshahi,1333,0
29-03-2023,Comilla,932,0
29-03-2023,Mymensingh,918,0
29-03-2023,Sylhet,359,0
29-03-2023,Barisal,286,0
29-03-2023,Rangpur,730,0
30-03-2023,Dhaka,4171,0
30-03-2023,Chittagong,1234,0
30-03-2023,Khulna,1541,0
30-03-2023,Rajshahi,1239,0
30-03-2023,Comilla,1057,0
30-03-2023,Mymensingh,936,25
30-03-2023,Sylhet,420,0
30-03-2023,Barisal,337,0
30-03-2023,Rangpur,780,0
31-03-2023,Dhaka,3685,0
31-03-2023,Chittagong,1142,0
31-03-2023,Khulna,1294,0
