date,demand_mw,previous_load_shed,load_shed_3day_avg,load_shed_7day_avg,previous_demand,demand_3day_avg,demand_change,day_of_week,month,day_of_month,is_weekend,actual_next_day_risk,predicted_probability
2025-02-12,-1.3106049,-0.18705063,-0.1021856,-0.41637433,-0.5145795,-0.8194159,-0.08663201,-0.18959238,-0.06790352,0.010556821,-0.092785366,0,0.0062465197
2025-02-22,-0.73756754,-0.2204503,-0.10724071,-0.31584436,0.33173218,-0.7520871,0.034846764,0.15913002,0.13698325,-0.49927786,0.14285716,0,0.042297263
2025-02-23,-0.88797855,-0.19506614,-0.038345467,-0.35626894,-0.43361658,-0.70994717,-0.63930863,0.9049877,0.08453908,-0.39558515,0.18866445,0,0.022514556
2025-02-24,-0.99299604,-0.19528832,-0.08033688,-0.35807574,-0.07137947,-0.92677,-0.17703836,-0.31316483,-0.16948488,-0.20557389,-0.10108397,0,0.007509199
2025-02-25,-1.0758024,-0.19996971,-0.07391497,-0.29798055,0.18020786,-0.8658515,0.13539605,-0.1279472,-0.16887918,-0.11767886,-0.09060563,0,0.018058438
2025-02-26,-0.97049946,-0.18918312,-0.078802735,-0.32819813,0.2795437,-1.0944993,0.06865109,-0.23660037,-0.17713735,-0.12895048,-0.0839982,0,0.014307351
2025-02-27,-0.76987725,-0.20068862,-0.08724457,-0.32087344,-0.42676654,-0.75998175,0.053099733,-0.52602565,-0.21428904,-0.08249603,-0.08967989,0,0.008856408
2025-02-28,-1.1558619,-0.1794595,-0.07565159,-0.30690843,-0.5439524,-0.87327456,-0.3450558,-0.34818825,-0.22567752,0.3415135,-0.09002913,0,0.006087323
2025-03-01,0.022630772,-0.25428975,-0.18012333,-0.31845325,0.2614544,-0.69371116,-0.06434636,0.047001112,0.06238758,0.38649103,0.09365194,0,0.12672795
2025-03-02,-0.56378376,-0.20167775,-0.14040257,-0.37804103,-0.5760514,-0.8747169,-0.7006925,0.8007561,0.32074714,0.2528673,0.16837901,0,0.039714575
2025-03-03,-1.0615466,-0.21861413,-0.16349743,-0.3781975,-0.5457882,-1.0707624,0.030160531,-0.179642,-0.03511866,-0.020814322,-0.083466694,0,0.0065599876
2025-03-04,-1.3288796,-0.21853077,-0.16212545,-0.37031752,-0.5164071,-1.0504481,-0.020635158,-0.11594296,-0.041611608,-0.28836104,-0.0887096,0,0.00409101
2025-03-05,-1.0906211,-0.23471323,-0.1691401,-0.37300515,-0.41205183,-1.0219895,0.1439307,-0.29666802,-0.073301226,-0.43698987,-0.08804364,0,0.0047469903
2025-03-06,-1.1672113,-0.23012082,-0.16882724,-0.39930373,-0.5017978,-0.86804384,-0.2394337,-0.5457908,-0.009805425,-0.4131627,-0.092318654,0,0.002654843
2025-03-07,-1.1554297,-0.21061552,-0.17486694,-0.42515475,-0.5464421,-0.8485956,-0.07322817,-0.41729644,0.012284905,-0.30638552,-0.092984624,0,0.003943996
2025-03-08,-0.83333325,-0.19406143,-0.14587672,-0.3454523,0.12423304,-0.75623125,-0.13499546,0.2324349,0.28055415,0.18846877,0.15898569,0,0.061909657
2025-03-09,-0.5077494,-0.1835074,-0.11808524,-0.36506283,0.14870666,-0.8359598,0.06995504,0.95470923,0.4706919,0.014722948,0.14679489,0,0.18277176
2025-03-10,-0.41521242,-0.19415526,-0.11747079,-0.41185892,-0.4273031,-0.9826461,-0.057734363,-0.28134704,-0.09647849,0.029303038,-0.08626629,0,0.012944328
2025-03-11,-0.4528135,-0.20118664,-0.10989441,-0.39653176,-0.38911298,-1.1748939,0.013934095,-0.09703024,-0.12920427,-0.06377927,-0.08742107,0,0.012360239
2025-03-12,-0.14041002,-0.22740279,-0.073084,-0.40003985,-0.33671287,-1.1469368,-0.016300896,-0.14472504,-0.09305173,0.027503202,-0.06706349,0,0.019625174
2025-03-13,-0.45588616,-0.16747892,-0.07719465,-0.4336021,-0.54734796,-0.40867066,0.18953224,-0.47623903,-0.15589954,0.0007398976,-0.07786646,0,0.019785719
2025-03-14,0.087153904,-0.22993842,-0.052878767,-0.3896101,-0.3086567,-0.37644988,0.04086138,-0.37143296,-0.20349775,0.06855291,-0.04397728,0,0.04424446
2025-03-15,-0.5071253,-0.25629,-0.08526602,-0.3059125,0.268318,-0.09989025,-0.095171966,-0.09997412,-0.0996407,0.048557457,0.06761739,0,0.078879066
2025-03-16,-0.2696819,-0.2386988,-0.103945084,-0.39533946,-0.17307997,-0.13659875,0.0012704163,0.41459617,0.19658463,-0.40575123,0.06378147,0,0.08788317
2025-03-17,0.12545004,-0.2146815,-0.061563116,-0.29201743,-0.019476702,-0.06932622,0.13794014,0.046386268,-0.18142946,-0.39022124,-0.04090242,0,0.09511345
2025-03-18,0.023843149,-0.19347,0.0021669695,-0.21905525,0.3391828,-0.010201227,0.21656954,0.100134544,-0.18877652,-0.3454495,-0.057899762,0,0.16439946
2025-03-19,-0.014351812,-0.2501091,0.018272461,-0.19415323,-0.017638395,-0.17902441,0.074976966,-0.20230567,-0.27861023,-0.40924937,-0.06951446,0,0.05654006
2025-03-20,0.054432523,-0.17460892,0.07159147,-0.2743405,0.12426627,-0.10748294,-0.6738398,-0.4838648,-0.25245208,-0.36912182,-0.08995235,0,0.030228626
2025-03-21,-1.0371323,-0.16580647,-0.02489205,-0.32674778,-0.42847824,0.13216414,-0.5673224,-0.36420712,-0.2699878,-0.37979648,-0.08529401,0,0.008078833
2025-03-22,-0.77728206,-0.22071065,-0.10655589,-0.3382858,0.26863465,-0.4805982,0.032502096,0.12865181,0.09794085,-0.5012591,0.13074026,0,0.04482545
2025-03-23,-0.22885899,-0.2104044,-0.053756297,-0.27983236,-0.33255538,-0.78047746,0.044669792,0.8966005,0.18445936,-0.46391442,0.14285716,0,0.08516842
2025-03-24,-0.0752716,-0.22884579,-0.03497998,-0.3304952,-0.39011925,-0.9705177,-0.16550094,-0.15322924,-0.24206439,-0.27879518,-0.07567786,0,0.014225414
